11672959	117	132	Disease	D008206	TaggerOne
11672959	137	146	Disease	D056486	TaggerOne
11672959	680	687	Disease	D051437	TaggerOne
11672959	227	247	Disease	D001172	TaggerOne
11672959	1137	1151	Chemical	D012460	TaggerOne
11672959	194	208	Chemical	D012460	TaggerOne
11672959	958	978	Disease	D001855	TaggerOne
11672959	11	25	Chemical	D012460	TaggerOne
11672959	532	541	Disease	D056486	TaggerOne
11672959	1000	1010	Disease	D009369	TaggerOne
11672959	1215	1229	Chemical	D012460	TaggerOne
11672959	692	698	Disease	D018805	TaggerOne
11672959	321	346	Disease	D020042	TaggerOne
11672959	110	115	Disease	D005334	TaggerOne
11672959	634	646	Disease	D001327	TaggerOne
11672959	98	108	Disease	D003872	TaggerOne
11672959	921	943	Disease	D009395	TaggerOne
11672959	841	864	Disease	D009336	TaggerOne
11672959	872	900	Disease	D009205	TaggerOne
9636837	1097	1101	Chemical	D002945	TaggerOne
9636837	472	477	Chemical	D016190	TaggerOne
9636837	191	201	Disease	D020258	TaggerOne
9636837	0	11	Chemical	D016190	TaggerOne
9636837	1210	1218	Chemical	D010984	TaggerOne
9636837	142	151	Chemical	D002945	TaggerOne
9636837	1431	1435	Chemical	D002945	TaggerOne
9636837	841	845	Disease	D010146	TaggerOne
9636837	815	839	Disease	D010523	TaggerOne
9636837	581	594	Disease	D020258	TaggerOne
9636837	1316	1326	Disease	D020258	TaggerOne
9636837	1277	1282	Chemical	D016190	TaggerOne
9636837	295	305	Disease	D020258	TaggerOne
9636837	130	135	Chemical	D016190	TaggerOne
9636837	104	115	Chemical	D016190	TaggerOne
9636837	1461	1474	Disease	D020258	TaggerOne
9636837	388	420	Disease	D010523	TaggerOne
9636837	1615	1620	Chemical	D016190	TaggerOne
9636837	153	157	Chemical	D002945	TaggerOne
9636837	231	236	Chemical	D016190	TaggerOne
9636837	1307	1312	Chemical	D016190	TaggerOne
9636837	771	776	Chemical	D016190	TaggerOne
1445986	474	483	Chemical	D015313	TaggerOne
1445986	0	9	Chemical	D015313	TaggerOne
1445986	284	293	Chemical	D015313	TaggerOne
1445986	50	66	Disease	D000743	TaggerOne
1445986	25	41	Disease	D000743	TaggerOne
1445986	186	200	Chemical	D002511	TaggerOne
1445986	153	164	Chemical	D010406	TaggerOne
1445986	645	654	Disease	D006461	TaggerOne
1445986	273	282	Chemical	D015313	TaggerOne
1445986	689	705	Disease	D000743	TaggerOne
1445986	238	244	Disease	D000740	TaggerOne
1445986	870	884	Chemical	D002511	TaggerOne
19274460	538	551	Chemical	D003907	TaggerOne
19274460	572	582	Chemical	C400082	TaggerOne
19274460	47	63	Chemical	D003520	TaggerOne
19274460	406	422	Disease	D009101	TaggerOne
19274460	95	108	Chemical	D003907	TaggerOne
19274460	279	289	Chemical	C400082	TaggerOne
19274460	294	307	Chemical	D003907	TaggerOne
19274460	1281	1283	Disease	D009101	TaggerOne
19274460	705	721	Chemical	D003520	TaggerOne
19274460	84	94	Chemical	C400082	TaggerOne
19274460	1161	1177	Chemical	D003520	TaggerOne
19274460	616	632	Chemical	D003520	TaggerOne
19274460	486	496	Chemical	C400082	TaggerOne
19274460	1093	1103	Disease	D009422	TaggerOne
19274460	166	173	Disease	D009101	TaggerOne
19274460	242	258	Chemical	D003520	TaggerOne
19274460	1054	1081	Disease	D005767	TaggerOne
19274460	424	426	Disease	D009101	TaggerOne
19274460	1197	1210	Chemical	D003907	TaggerOne
19274460	1130	1140	Chemical	C400082	TaggerOne
35781	770	772	Chemical	D009638	TaggerOne
35781	605	614	Disease	D002375	TaggerOne
35781	727	741	Chemical	C009695	TaggerOne
35781	244	254	Disease	D002375	TaggerOne
35781	137	148	Chemical	D009278	TaggerOne
35781	792	800	Chemical	D009020	TaggerOne
35781	711	722	Chemical	D009278	TaggerOne
35781	657	666	Disease	D002375	TaggerOne
35781	839	846	Chemical	D003061	TaggerOne
35781	153	167	Chemical	C009695	TaggerOne
35781	211	219	Chemical	D005283	TaggerOne
35781	639	647	Chemical	D005283	TaggerOne
35781	224	235	Chemical	D010423	TaggerOne
35781	192	200	Chemical	D009020	TaggerOne
35781	265	273	Chemical	D009020	TaggerOne
35781	433	435	Chemical	D009638	TaggerOne
35781	938	940	Chemical	D009638	TaggerOne
35781	805	813	Chemical	D005283	TaggerOne
35781	1249	1251	Chemical	D009638	TaggerOne
35781	418	431	Chemical	D009638	TaggerOne
35781	508	510	Chemical	D009638	TaggerOne
35781	880	891	Chemical	D010423	TaggerOne
35781	684	693	Chemical	D003000	TaggerOne
35781	626	634	Chemical	D009020	TaggerOne
35781	286	294	Chemical	D005283	TaggerOne
35781	649	656	Chemical	D003061	TaggerOne
35781	202	209	Chemical	D003061	TaggerOne
35781	1026	1034	Chemical	D005283	TaggerOne
35781	954	956	Chemical	D009638	TaggerOne
35781	1084	1086	Chemical	D009638	TaggerOne
35781	126	135	Chemical	D003000	TaggerOne
7369302	66	75	Disease	D000550	TaggerOne
7369302	58	65	Chemical	D011803	TaggerOne
7369302	83	92	Disease	D001766	TaggerOne
7369302	252	267	Chemical	D011803	TaggerOne
7369302	442	450	Disease	D064420	TaggerOne
7369302	434	441	Chemical	D011803	TaggerOne
15075188	476	501	Chemical	D011692	TaggerOne
15075188	2134	2135	Chemical	D011188	TaggerOne
15075188	1631	1633	Chemical	D012964	TaggerOne
15075188	586	589	Chemical	D011692	TaggerOne
15075188	1737	1738	Chemical	D011188	TaggerOne
